from,to,region
2200000,2209999,г. Йошкар-Ола|Республика Марий Эл
2210000,2223599,г. Йошкар-Ола|Республика Марий Эл
2223600,2225699,г. Йошкар - Ола|Республика Марий Эл
2225700,2226499,г. Йошкар-Ола|Республика Марий Эл
2226500,2227799,г. Йошкар - Ола|Республика Марий Эл
2227800,2228599,г. Йошкар-Ола|Республика Марий Эл
2228600,2229299,г. Йошкар - Ола|Республика Марий Эл
2229300,2232999,г. Йошкар-Ола|Республика Марий Эл
2233000,2234999,г. Йошкар - Ола|Республика Марий Эл
2235000,2235299,г. Йошкар-Ола|Республика Марий Эл
2235300,2239999,г. Йошкар - Ола|Республика Марий Эл
2240000,2299999,г. Йошкар-Ола|Республика Марий Эл
2300000,2303999,г. Йошкар - Ола|Республика Марий Эл
2304000,2304999,г. Йошкар - Ола|Республика Марий Эл
2305000,2309999,г. Йошкар - Ола|Республика Марий Эл
2310000,2319999,г. Йошкар-Ола|Республика Марий Эл
2320000,2339999,г. Йошкар-Ола|Республика Марий Эл
2340000,2340999,г. Йошкар - Ола|Республика Марий Эл
2341000,2341999,г. Йошкар - Ола|Республика Марий Эл
2342000,2346999,г. Йошкар-Ола|Республика Марий Эл
2347000,2349499,г. Йошкар - Ола|Республика Марий Эл
2349500,2369999,г. Йошкар - Ола|Республика Марий Эл
2370000,2371999,г. Йошкар-Ола|Республика Марий Эл
2372000,2379999,г. Йошкар-Ола|Республика Марий Эл
2380000,2386999,г. Йошкар - Ола|Республика Марий Эл
2387000,2389999,г. Йошкар - Ола|Республика Марий Эл
2390000,2409999,г. Йошкар-Ола|Республика Марий Эл
2410000,2430499,г. Йошкар-Ола|Республика Марий Эл
2430500,2439999,г. Йошкар - Ола|Республика Марий Эл
2440000,2449999,г. Йошкар-Ола|Республика Марий Эл
2450000,2469999,г. Йошкар-Ола|Республика Марий Эл
2470000,2479999,г. Йошкар-Ола|Республика Марий Эл
2480000,2488999,г. Йошкар - Ола|Республика Марий Эл
2489000,2490499,г. Йошкар-Ола|Республика Марий Эл
2490500,2491999,г. Йошкар - Ола|Республика Марий Эл
2492000,2492499,г. Йошкар-Ола|Республика Марий Эл
2492500,2492999,г. Йошкар - Ола|Республика Марий Эл
2493000,2493499,г. Йошкар-Ола|Республика Марий Эл
2493500,2494599,г. Йошкар - Ола|Республика Марий Эл
2494600,2497599,г. Йошкар - Ола|Республика Марий Эл
2497600,2530999,г. Йошкар - Ола|Республика Марий Эл
2531000,2531999,р-н Медведевский|Республика Марий Эл
2532000,2532899,г. Йошкар - Ола|Республика Марий Эл
2532900,2535499,р-н Медведевский|Республика Марий Эл
2535500,2536599,г. Йошкар - Ола|Республика Марий Эл
2536600,2539299,р-н Медведевский|Республика Марий Эл
2539300,2549999,г. Йошкар - Ола|Республика Марий Эл
2550000,2550099,г. Йошкар-Ола|Республика Марий Эл
2550100,2550999,г. Йошкар - Ола|Республика Марий Эл
2551000,2551999,г. Йошкар-Ола|Республика Марий Эл
2552000,2552999,г. Йошкар - Ола|Республика Марий Эл
2553000,2554999,г. Йошкар-Ола|Республика Марий Эл
2555000,2555999,г. Йошкар - Ола|Республика Марий Эл
2556000,2556799,г. Йошкар-Ола|Республика Марий Эл
2556800,2556899,г. Йошкар - Ола|Республика Марий Эл
