from,to,region
0,99999,Новосибирская обл.
100000,104999,Республика Алтай
105000,109999,Томская обл.
110000,199999,Кемеровская обл.
200000,339999,Новосибирская обл.
500000,509999,Красноярский край
510000,519999,Новосибирская обл.
520000,529999,Республика Алтай
530000,539999,Томская обл.
540000,549999,Республика Хакасия
550000,559999,Красноярский край
560000,569999,Кемеровская обл.
570000,579999,Республика Хакасия
580000,599999,Республика Алтай
700000,709999,Красноярский край
750000,759999,Красноярский край
770000,779999,Красноярский край
1000000,1099999,Алтайский край
1100000,1199999,Омская обл.
1200000,1399999,Новосибирская обл.
1400000,1699999,Красноярский край
1700000,1899999,Алтайский край
1900000,1999999,Республика Хакасия
2000000,2099999,Красноярский край
2100000,2299999,Кемеровская обл.
2300000,2399999,Томская обл.
2400000,2499999,Иркутская обл.
2500000,2549999,Кемеровская обл.
2550000,2649999,Республика Хакасия
2650000,2699999,Красноярский край
2700000,2799999,Республика Хакасия
2800000,2999999,Красноярский край
3000000,3249999,Новосибирская обл.
3250000,3299999,Республика Алтай
3300000,3399999,Республика Бурятия
3400000,3499999,Томская обл.
3500000,3599999,Алтайский край
3600000,3649999,Красноярский край
3650000,3699999,Республика Тыва
3700000,3799999,Республика Хакасия
3800000,3999999,Алтайский край
4000000,4199999,Иркутская обл.
4200000,4399999,Республика Бурятия
4400000,4499999,Иркутская обл.
4500000,4599999,Республика Бурятия
4600000,4699999,Иркутская обл.
5000000,5099999,Красноярский край
5100000,5149999,Новосибирская обл.
5150000,5199999,Республика Тыва
5200000,5299999,Омская обл.
5300000,5399999,Республика Бурятия
5400000,5579999,Алтайский край
5580000,5589999,Кемеровская обл.
5590000,5599999,Новосибирская обл.
5600000,5689999,Омская обл.
5690000,5699999,Кемеровская обл.
5700000,5799999,Красноярский край
5800000,5849999,Республика Алтай
5850000,5899999,Республика Хакасия
5900000,5944999,Республика Тыва
5945000,5945999,Республика Алтай
5946000,5946999,Республика Тыва
5947000,5949999,Республика Алтай
5950000,5969999,Кемеровская обл.
5970000,5989999,Томская обл.
5990000,5999999,Красноярский край
6000000,6099999,Алтайский край
6100000,6199999,Красноярский край
6200000,6279999,Омская обл.
6280000,6299999,Новосибирская обл.
6300000,6399999,Республика Бурятия
6600000,6600999,Омская обл.
6611000,6611999,Омская обл.
6777000,6777999,Томская обл.
6900000,6999999,Иркутская обл.
7770000,7779999,Республика Дагестан
8880000,8889999,г. Москва и Московская область
9990000,9999999,г. Москва и Московская область
